county,precinct,office,district,party,candidate,votes
Bernalillo,1,House,3,Republican,MICHAEL H ROMERO,316
Bernalillo,1,House,3,Democratic,BEN R LUJAN,388
Bernalillo,2,House,1,Republican,RICHARD GREGORY PRIEM,283
Bernalillo,2,House,1,Democratic,MICHELLE LUJAN GRISHAM,329
Bernalillo,3,House,1,Republican,RICHARD GREGORY PRIEM,352
Bernalillo,3,House,1,Democratic,MICHELLE LUJAN GRISHAM,487
Bernalillo,4,House,1,Republican,RICHARD GREGORY PRIEM,203
Bernalillo,4,House,1,Democratic,MICHELLE LUJAN GRISHAM,361
Bernalillo,5,House,1,Republican,RICHARD GREGORY PRIEM,155
Bernalillo,5,House,1,Democratic,MICHELLE LUJAN GRISHAM,362
Bernalillo,6,House,1,Republican,RICHARD GREGORY PRIEM,361
Bernalillo,6,House,1,Democratic,MICHELLE LUJAN GRISHAM,639
Bernalillo,7,House,1,Republican,RICHARD GREGORY PRIEM,324
Bernalillo,7,House,1,Democratic,MICHELLE LUJAN GRISHAM,736
Bernalillo,8,House,1,Republican,RICHARD GREGORY PRIEM,99
Bernalillo,8,House,1,Democratic,MICHELLE LUJAN GRISHAM,224
Bernalillo,9,House,1,Republican,RICHARD GREGORY PRIEM,166
Bernalillo,9,House,1,Democratic,MICHELLE LUJAN GRISHAM,334
Bernalillo,10,House,1,Republican,RICHARD GREGORY PRIEM,214
Bernalillo,10,House,1,Democratic,MICHELLE LUJAN GRISHAM,370
Bernalillo,11,House,1,Republican,RICHARD GREGORY PRIEM,192
Bernalillo,11,House,1,Democratic,MICHELLE LUJAN GRISHAM,579
Bernalillo,12,House,1,Republican,RICHARD GREGORY PRIEM,174
Bernalillo,12,House,1,Democratic,MICHELLE LUJAN GRISHAM,468
Bernalillo,13,House,1,Republican,RICHARD GREGORY PRIEM,186
Bernalillo,13,House,1,Democratic,MICHELLE LUJAN GRISHAM,406
Bernalillo,14,House,1,Republican,RICHARD GREGORY PRIEM,171
Bernalillo,14,House,1,Democratic,MICHELLE LUJAN GRISHAM,395
Bernalillo,15,House,1,Republican,RICHARD GREGORY PRIEM,198
Bernalillo,15,House,1,Democratic,MICHELLE LUJAN GRISHAM,452
Bernalillo,16,House,1,Republican,RICHARD GREGORY PRIEM,120
Bernalillo,16,House,1,Democratic,MICHELLE LUJAN GRISHAM,327
Bernalillo,17,House,1,Republican,RICHARD GREGORY PRIEM,209
Bernalillo,17,House,1,Democratic,MICHELLE LUJAN GRISHAM,558
Bernalillo,18,House,1,Republican,RICHARD GREGORY PRIEM,193
Bernalillo,18,House,1,Democratic,MICHELLE LUJAN GRISHAM,484
Bernalillo,19,House,1,Republican,RICHARD GREGORY PRIEM,578
Bernalillo,19,House,1,Democratic,MICHELLE LUJAN GRISHAM,727
Bernalillo,20,House,1,Republican,RICHARD GREGORY PRIEM,356
Bernalillo,20,House,1,Democratic,MICHELLE LUJAN GRISHAM,608
Bernalillo,21,House,1,Republican,RICHARD GREGORY PRIEM,476
Bernalillo,21,House,1,Democratic,MICHELLE LUJAN GRISHAM,805
Bernalillo,22,House,1,Republican,RICHARD GREGORY PRIEM,258
Bernalillo,22,House,1,Democratic,MICHELLE LUJAN GRISHAM,426
Bernalillo,23,House,1,Republican,RICHARD GREGORY PRIEM,317
Bernalillo,23,House,1,Democratic,MICHELLE LUJAN GRISHAM,595
Bernalillo,24,House,1,Republican,RICHARD GREGORY PRIEM,499
Bernalillo,24,House,1,Democratic,MICHELLE LUJAN GRISHAM,813
Bernalillo,25,House,1,Republican,RICHARD GREGORY PRIEM,464
Bernalillo,25,House,1,Democratic,MICHELLE LUJAN GRISHAM,694
Bernalillo,26,House,1,Republican,RICHARD GREGORY PRIEM,307
Bernalillo,26,House,1,Democratic,MICHELLE LUJAN GRISHAM,678
Bernalillo,27,House,1,Republican,RICHARD GREGORY PRIEM,157
Bernalillo,27,House,1,Democratic,MICHELLE LUJAN GRISHAM,424
Bernalillo,28,House,1,Republican,RICHARD GREGORY PRIEM,119
Bernalillo,28,House,1,Democratic,MICHELLE LUJAN GRISHAM,328
Bernalillo,29,House,1,Republican,RICHARD GREGORY PRIEM,195
Bernalillo,29,House,1,Democratic,MICHELLE LUJAN GRISHAM,429
Bernalillo,30,House,1,Republican,RICHARD GREGORY PRIEM,601
Bernalillo,30,House,1,Democratic,MICHELLE LUJAN GRISHAM,1058
Bernalillo,31,House,1,Republican,RICHARD GREGORY PRIEM,68
Bernalillo,31,House,1,Democratic,MICHELLE LUJAN GRISHAM,376
Bernalillo,32,House,1,Republican,RICHARD GREGORY PRIEM,125
Bernalillo,32,House,1,Democratic,MICHELLE LUJAN GRISHAM,460
Bernalillo,33,House,1,Republican,RICHARD GREGORY PRIEM,109
Bernalillo,33,House,1,Democratic,MICHELLE LUJAN GRISHAM,601
Bernalillo,34,House,1,Republican,RICHARD GREGORY PRIEM,82
Bernalillo,34,House,1,Democratic,MICHELLE LUJAN GRISHAM,255
Bernalillo,35,House,1,Republican,RICHARD GREGORY PRIEM,89
Bernalillo,35,House,1,Democratic,MICHELLE LUJAN GRISHAM,274
Bernalillo,36,House,1,Republican,RICHARD GREGORY PRIEM,74
Bernalillo,36,House,1,Democratic,MICHELLE LUJAN GRISHAM,390
Bernalillo,37,House,1,Republican,RICHARD GREGORY PRIEM,184
Bernalillo,37,House,1,Democratic,MICHELLE LUJAN GRISHAM,533
Bernalillo,38,House,1,Republican,RICHARD GREGORY PRIEM,182
Bernalillo,38,House,1,Democratic,MICHELLE LUJAN GRISHAM,648
Bernalillo,39,House,1,Republican,RICHARD GREGORY PRIEM,177
Bernalillo,39,House,1,Democratic,MICHELLE LUJAN GRISHAM,562
Bernalillo,40,House,1,Republican,RICHARD GREGORY PRIEM,107
Bernalillo,40,House,1,Democratic,MICHELLE LUJAN GRISHAM,408
Bernalillo,41,House,1,Republican,RICHARD GREGORY PRIEM,212
Bernalillo,41,House,1,Democratic,MICHELLE LUJAN GRISHAM,604
Bernalillo,42,House,1,Republican,RICHARD GREGORY PRIEM,100
Bernalillo,42,House,1,Democratic,MICHELLE LUJAN GRISHAM,355
Bernalillo,43,House,1,Republican,RICHARD GREGORY PRIEM,165
Bernalillo,43,House,1,Democratic,MICHELLE LUJAN GRISHAM,433
Bernalillo,44,House,1,Republican,RICHARD GREGORY PRIEM,185
Bernalillo,44,House,1,Democratic,MICHELLE LUJAN GRISHAM,621
Bernalillo,45,House,1,Republican,RICHARD GREGORY PRIEM,92
Bernalillo,45,House,1,Democratic,MICHELLE LUJAN GRISHAM,288
Bernalillo,46,House,1,Republican,RICHARD GREGORY PRIEM,130
Bernalillo,46,House,1,Democratic,MICHELLE LUJAN GRISHAM,513
Bernalillo,47,House,1,Republican,RICHARD GREGORY PRIEM,49
Bernalillo,47,House,1,Democratic,MICHELLE LUJAN GRISHAM,191
Bernalillo,48,House,1,Republican,RICHARD GREGORY PRIEM,125
Bernalillo,48,House,1,Democratic,MICHELLE LUJAN GRISHAM,535
Bernalillo,49,House,1,Republican,RICHARD GREGORY PRIEM,168
Bernalillo,49,House,1,Democratic,MICHELLE LUJAN GRISHAM,658
Bernalillo,50,House,1,Republican,RICHARD GREGORY PRIEM,255
Bernalillo,50,House,1,Democratic,MICHELLE LUJAN GRISHAM,822
Bernalillo,51,House,1,Republican,RICHARD GREGORY PRIEM,65
Bernalillo,51,House,1,Democratic,MICHELLE LUJAN GRISHAM,399
Bernalillo,52,House,1,Republican,RICHARD GREGORY PRIEM,330
Bernalillo,52,House,1,Democratic,MICHELLE LUJAN GRISHAM,862
Bernalillo,53,House,1,Republican,RICHARD GREGORY PRIEM,75
Bernalillo,53,House,1,Democratic,MICHELLE LUJAN GRISHAM,321
Bernalillo,54,House,1,Republican,RICHARD GREGORY PRIEM,317
Bernalillo,54,House,1,Democratic,MICHELLE LUJAN GRISHAM,791
Bernalillo,55,House,1,Republican,RICHARD GREGORY PRIEM,148
Bernalillo,55,House,1,Democratic,MICHELLE LUJAN GRISHAM,415
Bernalillo,56,House,1,Republican,RICHARD GREGORY PRIEM,201
Bernalillo,56,House,1,Democratic,MICHELLE LUJAN GRISHAM,453
Bernalillo,57,House,1,Republican,RICHARD GREGORY PRIEM,357
Bernalillo,57,House,1,Democratic,MICHELLE LUJAN GRISHAM,557
Bernalillo,58,House,1,Republican,RICHARD GREGORY PRIEM,49
Bernalillo,58,House,1,Democratic,MICHELLE LUJAN GRISHAM,109
Bernalillo,59,House,1,Republican,RICHARD GREGORY PRIEM,207
Bernalillo,59,House,1,Democratic,MICHELLE LUJAN GRISHAM,711
Bernalillo,60,House,1,Republican,RICHARD GREGORY PRIEM,207
Bernalillo,60,House,1,Democratic,MICHELLE LUJAN GRISHAM,632
Bernalillo,61,House,1,Republican,RICHARD GREGORY PRIEM,82
Bernalillo,61,House,1,Democratic,MICHELLE LUJAN GRISHAM,334
Bernalillo,62,House,1,Republican,RICHARD GREGORY PRIEM,55
Bernalillo,62,House,1,Democratic,MICHELLE LUJAN GRISHAM,274
Bernalillo,63,House,1,Republican,RICHARD GREGORY PRIEM,45
Bernalillo,63,House,1,Democratic,MICHELLE LUJAN GRISHAM,217
Bernalillo,64,House,1,Republican,RICHARD GREGORY PRIEM,33
Bernalillo,64,House,1,Democratic,MICHELLE LUJAN GRISHAM,163
Bernalillo,65,House,1,Republican,RICHARD GREGORY PRIEM,111
Bernalillo,65,House,1,Democratic,MICHELLE LUJAN GRISHAM,349
Bernalillo,66,House,1,Republican,RICHARD GREGORY PRIEM,118
Bernalillo,66,House,1,Democratic,MICHELLE LUJAN GRISHAM,365
Bernalillo,67,House,1,Republican,RICHARD GREGORY PRIEM,81
Bernalillo,67,House,1,Democratic,MICHELLE LUJAN GRISHAM,443
Bernalillo,68,House,1,Republican,RICHARD GREGORY PRIEM,476
Bernalillo,68,House,1,Democratic,MICHELLE LUJAN GRISHAM,611
Bernalillo,69,House,1,Republican,RICHARD GREGORY PRIEM,625
Bernalillo,69,House,1,Democratic,MICHELLE LUJAN GRISHAM,800
Bernalillo,70,House,1,Republican,RICHARD GREGORY PRIEM,459
Bernalillo,70,House,1,Democratic,MICHELLE LUJAN GRISHAM,798
Bernalillo,71,House,1,Republican,RICHARD GREGORY PRIEM,130
Bernalillo,71,House,1,Democratic,MICHELLE LUJAN GRISHAM,463
Bernalillo,72,House,1,Republican,RICHARD GREGORY PRIEM,36
Bernalillo,72,House,1,Democratic,MICHELLE LUJAN GRISHAM,262
Bernalillo,73,House,1,Republican,RICHARD GREGORY PRIEM,225
Bernalillo,73,House,1,Democratic,MICHELLE LUJAN GRISHAM,535
Bernalillo,74,House,1,Republican,RICHARD GREGORY PRIEM,128
Bernalillo,74,House,1,Democratic,MICHELLE LUJAN GRISHAM,330
Bernalillo,75,House,1,Republican,RICHARD GREGORY PRIEM,69
Bernalillo,75,House,1,Democratic,MICHELLE LUJAN GRISHAM,220
Bernalillo,76,House,1,Republican,RICHARD GREGORY PRIEM,129
Bernalillo,76,House,1,Democratic,MICHELLE LUJAN GRISHAM,315
Bernalillo,77,House,1,Republican,RICHARD GREGORY PRIEM,148
Bernalillo,77,House,1,Democratic,MICHELLE LUJAN GRISHAM,321
Bernalillo,78,House,1,Republican,RICHARD GREGORY PRIEM,403
Bernalillo,78,House,1,Democratic,MICHELLE LUJAN GRISHAM,665
Bernalillo,79,House,1,Republican,RICHARD GREGORY PRIEM,577
Bernalillo,79,House,1,Democratic,MICHELLE LUJAN GRISHAM,722
Bernalillo,80,House,3,Republican,MICHAEL H ROMERO,537
Bernalillo,80,House,3,Democratic,BEN R LUJAN,699
Bernalillo,81,House,1,Republican,RICHARD GREGORY PRIEM,749
Bernalillo,81,House,1,Democratic,MICHELLE LUJAN GRISHAM,1050
Bernalillo,82,House,1,Republican,RICHARD GREGORY PRIEM,401
Bernalillo,82,House,1,Democratic,MICHELLE LUJAN GRISHAM,537
Bernalillo,83,House,1,Republican,RICHARD GREGORY PRIEM,559
Bernalillo,83,House,1,Democratic,MICHELLE LUJAN GRISHAM,884
Bernalillo,84,House,3,Republican,MICHAEL H ROMERO,446
Bernalillo,84,House,3,Democratic,BEN R LUJAN,536
Bernalillo,85,House,3,Republican,MICHAEL H ROMERO,811
Bernalillo,85,House,3,Democratic,BEN R LUJAN,839
Bernalillo,86,House,1,Republican,RICHARD GREGORY PRIEM,181
Bernalillo,86,House,1,Democratic,MICHELLE LUJAN GRISHAM,368
Bernalillo,87,House,1,Republican,RICHARD GREGORY PRIEM,306
Bernalillo,87,House,1,Democratic,MICHELLE LUJAN GRISHAM,439
Bernalillo,88,House,1,Republican,RICHARD GREGORY PRIEM,134
Bernalillo,88,House,1,Democratic,MICHELLE LUJAN GRISHAM,317
Bernalillo,89,House,1,Republican,RICHARD GREGORY PRIEM,192
Bernalillo,89,House,1,Democratic,MICHELLE LUJAN GRISHAM,242
Bernalillo,90,House,1,Republican,RICHARD GREGORY PRIEM,164
Bernalillo,90,House,1,Democratic,MICHELLE LUJAN GRISHAM,491
Bernalillo,91,House,1,Republican,RICHARD GREGORY PRIEM,242
Bernalillo,91,House,1,Democratic,MICHELLE LUJAN GRISHAM,497
Bernalillo,92,House,1,Republican,RICHARD GREGORY PRIEM,199
Bernalillo,92,House,1,Democratic,MICHELLE LUJAN GRISHAM,402
Bernalillo,93,House,2,Republican,STEVE PEARCE,400
Bernalillo,93,House,2,Democratic,MERRIE LEE SOULES,316
Bernalillo,93,House,2,,JACK A MCGRANN,0
Bernalillo,94,House,1,Republican,RICHARD GREGORY PRIEM,42
Bernalillo,94,House,1,Democratic,MICHELLE LUJAN GRISHAM,154
Bernalillo,95,House,1,Republican,RICHARD GREGORY PRIEM,37
Bernalillo,95,House,1,Democratic,MICHELLE LUJAN GRISHAM,240
Bernalillo,96,House,1,Republican,RICHARD GREGORY PRIEM,186
Bernalillo,96,House,1,Democratic,MICHELLE LUJAN GRISHAM,361
Bernalillo,97,House,1,Republican,RICHARD GREGORY PRIEM,272
Bernalillo,97,House,1,Democratic,MICHELLE LUJAN GRISHAM,541
Bernalillo,98,House,1,Republican,RICHARD GREGORY PRIEM,140
Bernalillo,98,House,1,Democratic,MICHELLE LUJAN GRISHAM,452
Bernalillo,99,House,1,Republican,RICHARD GREGORY PRIEM,227
Bernalillo,99,House,1,Democratic,MICHELLE LUJAN GRISHAM,457
Bernalillo,101,House,1,Republican,RICHARD GREGORY PRIEM,74
Bernalillo,101,House,1,Democratic,MICHELLE LUJAN GRISHAM,403
Bernalillo,102,House,1,Republican,RICHARD GREGORY PRIEM,34
Bernalillo,102,House,1,Democratic,MICHELLE LUJAN GRISHAM,272
Bernalillo,103,House,1,Republican,RICHARD GREGORY PRIEM,135
Bernalillo,103,House,1,Democratic,MICHELLE LUJAN GRISHAM,519
Bernalillo,104,House,1,Republican,RICHARD GREGORY PRIEM,16
Bernalillo,104,House,1,Democratic,MICHELLE LUJAN GRISHAM,122
Bernalillo,105,House,1,Republican,RICHARD GREGORY PRIEM,25
Bernalillo,105,House,1,Democratic,MICHELLE LUJAN GRISHAM,157
Bernalillo,106,House,1,Republican,RICHARD GREGORY PRIEM,96
Bernalillo,106,House,1,Democratic,MICHELLE LUJAN GRISHAM,430
Bernalillo,107,House,1,Republican,RICHARD GREGORY PRIEM,56
Bernalillo,107,House,1,Democratic,MICHELLE LUJAN GRISHAM,382
Bernalillo,108,House,1,Republican,RICHARD GREGORY PRIEM,118
Bernalillo,108,House,1,Democratic,MICHELLE LUJAN GRISHAM,205
Bernalillo,109,House,1,Republican,RICHARD GREGORY PRIEM,11
Bernalillo,109,House,1,Democratic,MICHELLE LUJAN GRISHAM,33
Bernalillo,110,House,1,Republican,RICHARD GREGORY PRIEM,264
Bernalillo,110,House,1,Democratic,MICHELLE LUJAN GRISHAM,389
Bernalillo,111,House,1,Republican,RICHARD GREGORY PRIEM,362
Bernalillo,111,House,1,Democratic,MICHELLE LUJAN GRISHAM,677
Bernalillo,112,House,1,Republican,RICHARD GREGORY PRIEM,493
Bernalillo,112,House,1,Democratic,MICHELLE LUJAN GRISHAM,650
Bernalillo,113,House,1,Republican,RICHARD GREGORY PRIEM,285
Bernalillo,113,House,1,Democratic,MICHELLE LUJAN GRISHAM,413
Bernalillo,114,House,1,Republican,RICHARD GREGORY PRIEM,724
